STAB	@Y,*	B580	2	T1	1	0	007F	/*store acc to operand
ADDB	@Y,*	C580	2	T1	1	0	007F
ADDCB	@Y,*	D580	2	T1	1	0	007F
SUBB	@Y,*	E580	2	T1	1	0	007F
SUBCB	@Y,*	F580	2	T1	1	0	007F

/* iiii 1101 0000 0000 INDIRECT INSTRUCTIONS
ORTOB	@Y	8D80	2	NOP	1	0	0000
XORTOB	@Y	9D80	2	NOP	1	0	0000
ANDTOB	@Y	AD80	2	NOP	1	0	0000
STATOB	@Y	BD80	2	NOP	1	0	0000	/*store acc to operand
ADDTOB	@Y	CD80	2	NOP	1	0	0000
ADDCTOB	@Y	DD80	2	NOP	1	0	0000
SUBTOB	@Y	ED80	2	NOP	1	0	0000
SUBCTOB	@Y	FD00	2	NOP	1	0	0000

/* iiii 1101 oooo oooo INDIRECT INSTRUCTIONS
ORTOB	@Y,*	8D80	2	T1	1	0	007F
XORTOB	@Y,*	9D80	2	T1	1	0	007F
ANDTOB	@Y,*	AD80	2	T1	1	0	007F
STATOB	@Y,*	BD80	2	T1	1	0	007F	/*store acc to operand
ADDTOB	@Y,*	CD80	2	T1	1	0	007F
ADDCTOB	@Y,*	DD80	2	T1	1	0	007F
SUBTOB	@Y,*	ED80	2	T1	1	0	007F
SUBCTOB	@Y,*	FD80	2	T1	1	0	007F

/* iiii 0110 0000 0000 INDIRECT INSTRUCTIONS
LDAB	@Z	7600	2	NOP	1	0	0000	/*load acc from operand
ORB	@Z	8600	2	NOP	1	0	0000
XORB	@Z	9600	2	NOP	1	0	0000
ANDB	@Z	A600	2	NOP	1	0	0000
STAB	@Z	B600	2	NOP	1	0	0000	/*store acc to operand
ADDB	@Z	C600	2	NOP	1	0	0000
ADDCB	@Z	D600	2	NOP	1	0	0000
SUBB	@Z	E600	2	NOP	1	0	0000
SUBCB	@Z	F600	2	NOP	1	0	0000

/* iiii 0110 oooo oooo INDIRECT INSTRUCTIONS
LDAB	@Z,*	7600	2	T1	1	0	007F	/*load acc from operand
ORB	@Z,*	8600	2	T1	1	0	007F
XORB	@Z,*	9600	2	T1	1	0	007F
ANDB	@Z,*	A600	2	T1	1	0	007F
STAB	@Z,*	B600	2	T1	1	0	007F	/*store acc to operand
ADDB	@Z,*	C600	2	T1	1	0	007F
ADDCB	@Z,*	D600	2	T1	1	0	007F
SUBB	@Z,*	E600	2	T1	1	0	007F
SUBCB	@Z,*	F600	2	T1	1	0	007F

/* iiii 1110 0000 0000 INDIRECT INSTRUCTIONS
ORTOB	@Z	8E00	2	NOP	1	0	0000
XORTOB	@Z	9E00	2	NOP	1	0	0000
ANDTOB	@Z	AE00	2	NOP	1	0	0000
STATOB	@Z	BE00	2	NOP	1	0	0000	/*store acc to operand
ADDTOB	@Z	CE00	2	NOP	1	0	0000
ADDCTOB	@Z	DE00	2	NOP	1	0	0000
SUBTOB	@Z	EE00	2	NOP	1	0	0000
SUBCTOB	@Z	FE00	2	NOP	1	0	0000

/* iiii 1110 oooo oooo INDIRECT INSTRUCTIONS
ORTOB	@Z,*	8E00	2	T1	1	0	007F
XORTOB	@Z,*	9E00	2	T1	1	0	007F
ANDTOB	@Z,*	AE00	2	T1	1	0	007F
STATOB	@Z,*	BE00	2	T1	1	0	007F	/*store acc to operand
ADDTOB	@Z,*	CE00	2	T1	1	0	007F
ADDCTOB	@Z,*	DE00	2	T1	1	0	007F
SUBTOB	@Z,*	EE00	2	T1	1	0	007F
SUBCTOB	@Z,*	FE00	2	T1	1	0	007F

/* iiii 0111 0000 0000 INDIRECT INSTRUCTIONS
LDAB	@T	7700	2	NOP	1	0	0000	/*load acc from operand
ORB	@T	8700	2	NOP	1	0	0000
XORB	@T	9700	2	NOP	1	0	0000
ANDB	@T	A700	2	NOP	1	0	0000
STAB	@T	B700	2	NOP	1	0	0000	/*store acc to operand
ADDB	@T	C700	2	NOP	1	0	0000
ADDCB	@T	D700	2	NOP	1	0	0000
SUBB	@T	E700	2	NOP	1	0	0000
SUBCB	@T	F700	2	NOP	1	0	0000

/* iiii 0111 oooo oooo INDIRECT INSTRUCTIONS
LDAB	@T,*	7700	2	T1	1	0	007F	/*load acc from operand
ORB	@T,*	8700	2	T1	1	0	007F
XORB	@T,*	9700	2	T1	1	0	007F
ANDB	@T,*	A700	2	T1	1	0	007F
STAB	@T,*	B700	2	T1	1	0	007F	/*store acc to operand
ADDB	@T,*	C700	2	T1	1	0	007F
ADDCB	@T,*	D700	2	T1	1	0	007F
SUBB	@T,*	E700	2	T1	1	0	007F
SUBCB	@T,*	F700	2	T1	1	0	007F

/* iiii 1111 0000 0000 INDIRECT INSTRUCTIONS
ORTOB	@T	8F00	2	NOP	1	0	0000
XORTOB	@T	9F00	2	NOP	1	0	0000
ANDTOB	@T	AF00	2	NOP	1	0	0000
STATOB	@T	BF00	2	NOP	1	0	0000	/*store acc to operand
ADDTOB	@T	CF00	2	NOP	1	0	0000
ADDCTOB	@T	DF00	2	NOP	1	0	0000
SUBTOB	@T	EF00	2	NOP	1	0	0000
SUBCTOB	@T	FF00	2	NOP	1	0	0000

/* iiii 1111 oooo oooo INDIRECT INSTRUCTIONS
ORTOB	@T,*	8F00	2	T1	1	0	007F
XORTOB	@T,*	9F00	2	T1	1	0	007F
ANDTOB	@T,*	AF00	2	T1	1	0	007F
STATOB	@T,*	BF00	2	T1	1	0	007F	/*store acc to operand
ADDTOB	@T,*	CF00	2	T1	1	0	007F
ADDCTOB	@T,*	DF00	2	T1	1	0	007F
SUBTOB	@T,*	EF00	2	T1	1	0	007F
SUBCTOB	@T,*	FF00	2	T1	1	0	007F

/*11 BIT return addresses
/* iiii 1aaa aaaa aaaa DIRECT INSTRUCTIONS
RET	""	1800	2	NOP	1	0	0
RETNZ	""	2800	2	NOP	1	0	0
RETZ	""	3800	2	NOP	1	0	0
RETNC	""	4800	2	NOP	1	0	0
RETC	""	5800	2	NOP	1	0	0
RET@	""	6800	2	NOP	1	0	0	/*??

/*MEMORY REF INST 10 BIT OPERAND ADDRESS 
/* iiii 00nn nnnn nnnn DIRECT INSTRUCTIONS
LDAB	*	7000	2	T1	1	0	03FF	/*load acc from operand
ORB	*	8000	2	T1	1	0	03FF
XORB	*	9000	2	T1	1	0	03FF
ANDB	*	A000	2	T1	1	0	03FF
STAB	*	B000	2	T1	1	0	03FF	/*store acc to operand
ADDB	*	C000	2	T1	1	0	03FF
ADDCB	*	D000	2	T1	1	0	03FF
SUBB	*	E000	2	T1	1	0	03FF
SUBCB	*	F000	2	T1	1	0	03FF

/*MEMORY REF TO INST 10 BIT OPERAND ADDRESS 
/* iiii 10nn nnnn nnnn DIRECT INSTRUCTIONS
ORTOB	*	8800	2	T1	1	0	03FF
XORTOB	*	9800	2	T1	1	0	03FF
ANDTOB	*	A800	2	T1	1	0	03FF
STATOB	*	B800	2	T1	1	0	03FF	/*store acc to operand
ADDTOB	*	C800	2	T1	1	0	03FF
ADDCTOB	*	D800	2	T1	1	0	03FF
SUBTOB	*	E800	2	T1	1	0	03FF
SUBCTOB	*	F800	2	T1	1	0	03FF

